applicant,application_date,application_number,document_date,document_number,inventor,title
浙江新华制药有限公司,2011-01-13,CN201110006330.8,2012-05-30,CN102093263B,"林邦平,洪秀云,黄明孙",一种氯吡格雷拆分剂左旋樟脑磺酸的回收方法
山东新华制药股份有限公司,2008-07-10,CN200810138066.1,2012-05-23,CN101323598B,"朱连博,宋广慧,韩勇,李兴泰","5,5-二乙基丙二酰脲的制备方法"
潍柴动力股份有限公司,2017-06-28,CN201710508306.1,2017-09-29,CN107218136A,"刘旭海,刘正锐",排气节流装置及发动机SCR热管理系统
山东新华制药股份有限公司,2011-06-15,CN201110160619.5,2011-11-23,CN102250093A,"夏丙堃,宫怀正,郑志满",从茶碱钠盐母液中回收茶碱钠盐的工艺
山东新华制药股份有限公司,2010-04-10,CN201010145983.X,2011-10-12,CN102210693A,"汪洋,刘怀林,潘西海",一种阿司匹林和双嘧达莫多层片的制备方法
潍柴动力股份有限公司,2014-02-08,CN201410046037.8,2014-06-04,CN103835850A,"冯杰,刘兴义,杨新达,孔祥花,王裕鹏",一种单体泵供油修正控制方法及装置
潍柴动力股份有限公司,2014-01-21,CN201410028231.3,2014-05-14,CN103790688A,"李文广,刘菲,丁国栋",一种发动机及其冷却喷嘴的控制方法、控制系统
山东新华制药股份有限公司,2011-03-11,CN201110058543.5,2011-09-07,CN102174012A,"王兵,张博,沈平,王龙闯",尼莫地平的制备方法
山东新华制药股份有限公司,2010-06-29,CN201010211769.X,2012-01-11,CN102311325A,"李进都,吴军军,常林,刘怀林",普拉格雷中间体环丙基-2-氟苄基酮的制备方法
中联重科股份有限公司渭南分公司,2012-06-29,CN201210222120.7,2012-10-17,CN102733438A,"赵登科,东荣,张明珍,杨斌",用于混合动力工程机械的配重和混合动力工程机械
潍柴动力股份有限公司,2014-01-15,CN201410018968.7,2014-05-14,CN103790684A,"闫立冰,刘兴义,李栋,蔺海艳,王金平",一种氧化催化器的故障检测方法及装置
潍柴动力股份有限公司,2013-12-25,CN201310727432.8,2014-04-23,CN103742242A,"王意宝,陶建忠,王奉双,王远景",一种SCR催化消声器及其出气管
浙江新华制药有限公司,2011-07-25,CN201110208876.1,2012-01-18,CN102321139A,"林邦平,李军敏,王小平",一种螺内酯的合成方法
浙江新华制药有限公司,2011-11-01,CN201110338816.1,2012-03-14,CN102372533A,"王世辉,李斌,徐远,孔剑波,张芳",酒石酸衍生物催化端炔锌试剂对含氟烷基芳酮的不对称加成方法
上海中联重科桩工机械有限公司,2012-08-22,CN201210301731.0,2012-11-21,CN102788063A,"朱长林,乔国华,黄志明,刘发民",液压装置和桩工机械
中联重科股份有限公司渭南分公司,2012-10-15,CN201210392393.6,2013-02-06,CN102910150A,"王科,单晓宁,韩晓强",雨刮器及其控制方法、控制器、雨刮系统和汽车
广东新会中集特种运输设备有限公司,2014-07-08,CN201410323869.X,2015-09-16,CN104139933B,"李升奇,张前先,赵建刚",折叠箱
潍柴动力股份有限公司,2013-12-06,CN201310654954.X,2014-04-30,CN103758649A,"仲昆,代子阳,龚英利,姚旺,栾军山",EGR系统管路状态检测方法、装置及具有该装置的车辆
潍柴动力股份有限公司,2014-01-24,CN201410036933.6,2014-04-30,CN103758618A,"王新校,王辉,栾军山",一种发动机以及发动机排气温度控制装置
山东新华制药股份有限公司,2011-07-28,CN201110214020.5,2012-02-15,CN102351794A,"贺新恒,蒋涛,徐英",异丙基安替比林回收品的精制回收工艺
山东新华制药股份有限公司,2010-06-29,CN201010211230.4,2012-01-11,CN102311376A,"贺新恒,刘怀林,蒋涛",一种阿托伐他汀钙的制备工艺
中联重科股份有限公司渭南分公司,2012-11-19,CN201210470898.X,2013-02-06,CN102912817A,"单晓宁,杨超,赵晗,胡育钦",挖掘机及其控制方法和控制装置
中联重科股份有限公司渭南分公司,2012-10-23,CN201210409219.8,2013-01-09,CN102864800A,"单晓宁,陶思扬,尚景山",挖掘机的平推控制方法和控制装置与挖掘机
南通中集特种运输设备制造有限公司,2014-09-24,CN201410496157.8,2016-04-20,CN105501721A,"郭伟嘉,李爱华,董春健,陈小军",处理箱
中集集团集装箱控股有限公司,2014-09-25,CN201410500075.6,2016-04-20,CN105501735A,"陆新林,郭伟嘉,周卫华,钱小龙",集装箱卸料端门及具有其的集装箱
潍柴动力股份有限公司,2011-11-30,CN201110390641.9,2014-04-30,CN102493886B,"佟德辉,秦涛,刘兴义,徐文俊",一种喷油器开启时间修正方法及装置
潍柴动力股份有限公司,2014-01-20,CN201410025216.3,2014-04-30,CN103758673A,"杨艳庆,范明德,许帅",柴油机的冷起动控制系统及方法
山东新华制药股份有限公司,2010-06-29,CN201010212069.2,2012-01-11,CN102311335A,"乔俊波,陈广文,刘炜,张玲",高松密度布洛芬的制备工艺
山东新华制药股份有限公司,2011-03-11,CN201110058448.5,2011-09-07,CN102174049A,"王军,陈梅,李敏之",一种盐酸纳洛酮成盐的制备工艺
上海中联重科桩工机械有限公司,2012-10-08,CN201210380253.7,2013-01-30,CN102900421A,"黄伟民,杨媛,赵亮",钻机的钻杆的下放速度的控制方法、装置及钻机
丽珠集团疫苗工程股份有限公司,2010-08-27,CN201010264210.3,2012-01-25,CN102327607A,"刘钿莲,马书智,艾文",一种乙型脑炎疫苗制剂的生产方法
南通中集特种运输设备制造有限公司,2014-01-21,CN201410027274.X,2017-08-11,CN104787503B,陆新林,一种货运集装箱
潍柴动力股份有限公司,2013-12-13,CN201310688160.5,2014-04-23,CN103742297A,"杨栋,冀丽琴,张飞飞,张晓琳,张少杰",一种发动机及其废气再循环系统、排气歧管
潍柴动力股份有限公司,2013-12-09,CN201310661924.1,2014-04-23,CN103742277A,"宋茜,桑海浪,张斌",一种发动机摩擦扭矩计算方法及装置
山东新华制药股份有限公司,2012-12-24,CN201210572698.5,2013-08-07,CN103230368A,"汪洋,郑忠辉",他汀类药物的制备方法
山东新华制药股份有限公司,2010-04-10,CN201010145983.X,2013-10-09,CN102210693B,"任福龙,刘怀林,潘西海",一种阿司匹林和双嘧达莫多层片的制备方法
中兴通讯股份有限公司,2013-10-09,CN201380052914.6,2015-06-17,CN104718747A,"李明,杰勒德·费尔南多,吴平",用于媒体传输和存储的视频扫描格式信息的封装
上海中联重科桩工机械有限公司,2012-10-18,CN201210398850.2,2013-01-30,CN102900833A,"朱长林,黄志明,乔国华,刘发民",压力平衡装置、方法及地下施工设备
丽珠医药集团股份有限公司,2009-02-11,CN200910007607.1,2012-01-25,CN101797388B,"周俊,郭国领,李颖,彭丽娜,苏勉诚,胡菊华,陈春贵",治疗前列腺炎的栓剂或膏剂药物的基质及其制备方法
中集集团集装箱控股有限公司,2014-05-16,CN201410209987.8,2017-08-04,CN104801599B,"董旭,李建平,杨克辉,汪德禄,钟永强,贺文彬",集装箱门横梁冲压生产线
中集集团集装箱控股有限公司,2014-06-04,CN201410244998.X,2017-08-04,CN104801600B,"汪德禄,杨克辉,刘永琼,钟永强,李建平",集装箱大门槛类部件生产线
潍柴动力股份有限公司,2013-12-24,CN201310728068.7,2014-04-23,CN103742273A,"李文广,闫珊珊",用于获取EVB系统性能的测试系统及其控制策略
山东新华制药股份有限公司,2013-07-18,CN201310303327.1,2013-10-09,CN103342664A,"翟吉胜,郑忠辉,赵春燕,于磊,窦国华",酒石酸盐的制备方法
山东晨鸣纸业集团股份有限公司,2010-12-01,CN201010568765.7,2011-06-29,CN102108649A,"李红斌,邵学军,房桂干,耿光林,张革仓,王勇,方辉,邓拥军,焦健,韩善明,张军",一种废纸脱墨的工艺方法
上海中联重科桩工机械有限公司,2012-05-25,CN201210167196.4,2012-09-05,CN102654038A,"谭春祥,尚志红",吊锚架和旋挖钻机
丽珠集团利民制药厂,2006-07-19,CN200610098953.1,2010-05-12,CN1899362B,"刘学华,屠芳芳,陶德萍",参芪扶正注射液的质量控制方法
中集集团集装箱控股有限公司,2013-08-27,CN201310379333.5,2017-08-29,CN104416636B,"陈祥社,赵声录,陶仁中,郞妙国",去除竹筒表面竹青的方法及设备
潍柴动力股份有限公司,2012-03-23,CN201210080413.6,2014-05-28,CN102606320B,"刘兴义,张展腾,胡广地",解决EGR特性曲线变化的方法和系统
潍柴动力股份有限公司,2011-03-31,CN201110080544.X,2014-05-28,CN102128078B,"靳海龙,乔海周,雷保军",一种发动机进排气系统
中兴通讯股份有限公司,2013-10-09,CN201380052866.0,2015-06-17,CN104718746A,"李明,杰勒德·费尔南多,吴平",用于媒体传输和存储的随机访问信息封装的方法和仪器
中兴通讯股份有限公司,2012-06-14,CN201280028695.3,2014-04-30,CN103765404A,布米普·哈斯纳比西,用于基于云的身份管理（C-IDM）实现的方法和系统
吉林晨鸣纸业有限责任公司,2010-03-25,CN201010135004.2,2011-07-06,CN101831820B,"伦俊文,李峰,黄乐军,庞军,杨宝玉,贾世俊,刘仙",白松杨木化学机械纸浆的生产方法
上海中联重科桩工机械有限公司,2012-05-14,CN201210148624.9,2012-09-12,CN102661127A,"谭春祥,梁海龙,尚志红",吊锚架的安装结构和旋挖钻机
上海中联重科桩工机械有限公司,2012-05-22,CN201210163154.3,2012-10-03,CN102704859A,孙光庆,滑轮机构和旋挖钻机
丽珠集团新北江制药股份有限公司,2006-12-15,CN200610130276.7,2010-05-12,CN1974564B,"杨亚勇,陈海煌,李长洪,任全华",一种霉酚酸莫啡酯的制备方法
南通中集特种运输设备制造有限公司,2013-09-17,CN201710151249.6,2017-05-17,CN106672483A,"刘荣,丁志春,翟建兴,陆新林,董春健,陈耀,范凯,李爱华",集装箱的开锁装置、具有开锁装置的锁具结构及集装箱
中国国际海运集装箱(集团)股份有限公司,2015-11-25,CN201510833718.3,2017-05-31,CN106735723A,"陆宏文,张科,相顺强,刘俊",集装箱门板生产系统
潍柴动力股份有限公司,2012-04-06,CN201210099513.3,2014-05-28,CN102621917B,"孙少军,佟德辉,王欣伟,徐文俊,原利超,周石磊,宋梅",一种防止带电插拔ECU接插件的方法和装置
潍柴动力股份有限公司,2012-05-31,CN201210176625.4,2014-05-28,CN102678228B,"张英,王军,朱守江,董晓婷",一种油气分离装置
中兴通讯股份有限公司,2010-10-09,CN201080069168.8,2013-08-21,CN103262617A,"邬华明,李儒岳,郭森宝,薛妍,朱常青,孙云锋",下行链路功率分配的方法
山东晨鸣纸业集团股份有限公司,2010-10-19,CN201010511032.X,2012-05-30,CN101967766B,"陈洪国,夏继钢,庞军,金树民,张伟",一种防伪纸生产设备
山东晨鸣纸业集团股份有限公司,2012-10-18,CN201210395962.2,2015-05-20,CN102912691B,"陈洪国,邵学军,张延军,张国英,张革仓,王勇",一种涂布牛卡纸及其生产方法
上海中联重科桩工机械有限公司,2012-11-13,CN201210455185.6,2013-02-20,CN102937121A,"朱长林,乔国华,黄志明",压力设定阀和工程设备
中联重科股份有限公司渭南分公司,2012-11-22,CN201210479458.0,2013-02-27,CN102943497A,杨凯,一种元件周围泥土清理工具
丽珠集团利民制药厂,2007-04-10,CN200710065296.5,2010-09-08,CN101028331B,刘东来,党参黄芪组合物的制药用途
丽珠集团新北江制药股份有限公司,2010-11-12,CN201010548288.8,2011-04-27,CN102030786A,"唐阳刚,李敬辉,林楠棋,郑滔",一种阿卡波糖的制备方法
湖南中集竹木业发展有限公司,2013-12-02,CN201310637490.1,2014-11-05,CN104128971A,"刘锐楷,卢建房,李月明,李振林",竹木复合集装箱用底板及其生产方法
潍柴动力股份有限公司,2014-01-26,CN201410037399.0,2014-05-07,CN103776633A,"李文广,李升建,陈淑敏",一种电子熄火器的试验系统及其控制方法
潍柴动力股份有限公司,2013-07-08,CN201310285358.9,2013-09-25,CN103321759A,"战强,殷海红,马雁",一种发动机、排气门制动模块及排气门制动液控系统
中兴通讯股份有限公司,2012-06-28,CN201280034047.9,2014-03-19,CN103650387A,霍大卫,在天线与基带处理器之间无线传输模拟信号的方法和系统
中兴通讯股份有限公司,2014-03-24,CN201480035713.X,2016-03-02,CN105379151A,"丹尼斯·A·霍季姆斯基,张德智,李长垒",多波长无源光网络中的光网络单元自校准
吉林晨鸣纸业有限责任公司,2010-03-25,CN201010135021.6,2010-09-15,CN101831825A,"李峰,黄乐军,庞军,伦俊文,杨宝玉,杨洪毅,刘仙",改进的废纸脱墨浆生产方法
上海中联重科桩工机械有限公司,2013-02-06,CN201310048375.0,2013-05-08,CN103089145A,"孔祥玉,黄志明,常延沛,黄伟民",旋挖钻机的潜孔锤动力头和旋挖钻机
中联重科股份有限公司渭南分公司,2013-01-18,CN201310017678.6,2013-05-01,CN103074914A,"徐茂林,丁新生,单晓宁,王科",工程机械散热控制系统、控制方法及挖掘机
丽珠集团新北江制药股份有限公司,2008-09-05,CN200810198328.3,2011-05-11,CN101348476B,"张雷,李环,李晶,邱科先","一种制备4,5,6,7-四氢普伐他汀及其钠盐的方法和固体结晶形式"
丽珠集团福州福兴医药有限公司,2016-01-28,CN201610058134.8,2016-04-13,CN105481950A,"黄志强,黄娟,赵正国,林东态,蒋永飞,巫秋萍",一种达托霉素提取方法
广东新会中集特种运输设备有限公司,2014-08-29,CN201410437092.X,2014-12-10,CN104196125A,"杨书芳,周永朋,周永安",一种模块化建筑连接件和建筑
中集集团集装箱控股有限公司,2013-12-17,CN201310700413.6,2014-09-17,CN104045847A,"黄田化,王军海,于惠博,杜栋栋,胡亮,尹相轻",发泡剂组合物、发泡体组合物及发泡体的制备方法
潍柴动力股份有限公司,2013-07-02,CN201310274498.6,2013-09-25,CN103318047A,"韩尔樑,石伟,时艳茹,宁廷会,周之光",一种增程式电动城市客车及其能量分配方法和系统
潍柴动力股份有限公司,2013-06-03,CN201310217193.1,2013-08-28,CN103266964A,"成效先,张鹏伟,许成,马庆镇",一种活塞降噪方法及一种活塞
中兴通讯股份有限公司,2010-10-09,CN201080069168.8,2016-05-04,CN103262617B,"邬华明,李儒岳,郭森宝,薛妍,朱常青,孙云锋",下行链路功率分配的方法
中兴通讯股份有限公司,2017-02-20,CN201710089950.X,2017-08-29,CN107104913A,"钱兴,陈玉",用于在干扰受限系统内的链路自适应的信道质量估计
吉林晨鸣纸业有限责任公司,2010-03-25,CN201010135031.X,2010-11-10,CN101880977A,"伦俊文,李峰,黄乐军,庞军,杨宝玉,贾世俊,刘仙",樟子松白松杨木化学机械浆的生产方法
山东晨鸣纸业集团股份有限公司,2012-10-18,CN201210395963.7,2013-02-06,CN102912689A,"陈洪国,邵学军,张延军,张国英,张革仓,王勇,韩旭霞",一种白面涂布牛卡纸及其生产方法
上海中联重科桩工机械有限公司,2013-06-06,CN201310224675.X,2015-08-05,CN103266856B,"孔祥玉,黄志明,常延沛,刘周斌,茅晓峰",旋挖钻机及其随动架
常德中联重科液压有限公司,2013-05-09,CN201310168276.6,2015-08-05,CN103225633B,"刘先爱,潘文华",液压换向阀、液压换向阀组和工程机械
丽珠集团丽珠制药厂,2013-07-27,CN201310328520.0,2016-01-27,CN103432149B,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,向双",一种含有艾普拉唑钠组合物的复方胶囊及其制备方法
丽珠集团疫苗工程股份有限公司,2010-08-27,CN201010264210.3,2013-08-14,CN102327607B,"刘钿莲,马书智,艾文",一种乙型脑炎疫苗制剂的生产方法
中集集团集装箱控股有限公司,2013-11-28,CN201310628088.7,2015-06-03,CN104670750A,"黄田化,尚智明,于惠博,孙吉栋,尹相轻,李飞",保温箱体以及用于该保温箱体的内衬板的制作方法
扬州通利冷藏集装箱有限公司,2013-11-18,CN201310576420.X,2015-05-27,CN104652850A,"杨保同,陆玉柏,马力",一种集装箱
中兴通讯股份有限公司,2012-10-24,CN201280051143.4,2017-07-28,CN103891202B,布米普·哈斯纳比西,用于经由显式（或虚拟化）机器到机器（M2M）网关元件的基于云的服务元件的集中过载控制（COFO‑SE）的实现的系统和方法
中兴通讯(美国)公司,2012-02-22,CN201210043662.8,2012-09-05,CN102655488A,余建军,用于相干的多路副载波源生成的方法和系统
中兴通讯股份有限公司,2012-03-02,CN201210054821.4,2012-09-05,CN102655678A,"方永刚,余媛芳,赵孝武,陆婷",用于无线电配置指示的方法和装置
吉林晨鸣纸业有限责任公司,2010-03-25,CN201010135004.2,2010-09-15,CN101831820A,"伦俊文,李峰,黄乐军,庞军,杨宝玉,贾世俊,刘仙",白松杨木化学机械纸浆的生产方法
山东晨鸣纸业集团股份有限公司,2008-12-11,CN200810238241.4,2012-06-27,CN101418532B,"张革仓,方辉",一种涂布纸的制备方法
长沙中联重科环卫机械有限公司,2013-08-13,CN201310351493.9,2015-07-15,CN103406262B,"翁沁文,高根树",滚筒的支撑结构和滚筒筛
上海中联重科桩工机械有限公司,2013-11-20,CN201310590423.9,2015-09-02,CN103590438B,"乔国华,禹昭,朱长林",地下连续墙液压抓斗的油管卷盘系统及地下连续墙成槽机
丽珠集团宁夏福兴制药有限公司,2017-01-14,CN201710045187.0,2017-07-28,CN106986785A,"姚煜,张晓莉,郑滔,张帮涛,常成",一种L‑苯丙氨酸母液回收方法
丽珠集团福州福兴医药有限公司,2017-04-19,CN201710258661.8,2017-07-25,CN106977525A,"黄志强,何鹏,刘小刚,徐文灿,王为民",一种米贝尔霉素制备方法
扬州通利冷藏集装箱有限公司,2013-12-12,CN201310683015.8,2015-06-17,CN104712150A,"杨保同,刘华存,谭雪峰,周强",室外走廊及其运输方法
广东新会中集特种运输设备有限公司,2013-12-05,CN201310657039.6,2015-06-10,CN104691983A,"张前先,李升奇,赵建刚,伍国权,李赛方,许波",一种台架式集装箱
中兴通讯(美国)公司,2011-12-14,CN201110417125.0,2012-07-04,CN102546506A,余建军,使用压扩变换的用于光正交频分复用的方法和系统
中兴通讯股份有限公司,2011-05-23,CN201180025592.7,2013-01-30,CN102907150A,穆拉利·克里斯南,用于LTE下行链路中改进的基站小区同步的方法和装置
山东晨鸣纸业集团股份有限公司,2010-10-19,CN201010511033.4,2012-06-27,CN101967777B,"陈洪国,夏继钢,庞军,金树民,张伟",一种防伪白卡纸及其制造方法
吉林晨鸣纸业有限责任公司,2010-03-25,CN201010135021.6,2012-09-26,CN101831825B,"李峰,黄乐军,庞军,伦俊文,杨宝玉,杨洪毅,刘仙",改进的废纸脱墨浆生产方法
中联重科股份有限公司渭南分公司,2013-08-01,CN201310332575.9,2015-09-02,CN103388319B,刘联仓,破冰装置及路面除冰机
上海中联重科桩工机械有限公司,2012-09-03,CN201210322270.5,2015-04-22,CN102815633B,"朱长林,乔国华,黄志明,刘发民",液压绞车的控制装置和工程机械
丽珠集团利民制药厂,2012-11-02,CN201210436493.4,2014-05-21,CN103808840A,"宋艳刚,刘学华,黄文华,刘东来",一种参芪扶正注射液指纹图谱的建立方法
丽珠集团利民制药厂,2013-12-28,CN201310756866.0,2014-06-25,CN103884731A,"曹晖,姜苗苗,许磊,黄文华,刘东来,谢海燕",一种参芪扶正注射液核磁共振质量控制方法
中集集团集装箱控股有限公司,2013-09-04,CN201310397292.2,2015-03-18,CN104420675A,李成明,适合焊接作业的厂房
中集集团集装箱控股有限公司,2013-08-09,CN201310345373.8,2015-02-11,CN104339272A,"陈祥社,陶仁中,郎妙国,赵声录,饶鹏",竹筒的去竹青设备
中兴通讯股份有限公司,2011-02-15,CN201180008743.8,2012-10-24,CN102754400A,布米普·哈斯纳比西,用于在基于云的网络内实现集成的网络电话的方法和系统
中兴通讯股份有限公司,2012-04-18,CN201280018046.5,2014-01-01,CN103493393A,"袁弋非,霍大卫",用于多输入多输出（MIMO）的空间信道状态信息反馈的方法和系统
山东晨鸣纸业集团股份有限公司,2012-11-08,CN201210441866.7,2013-02-13,CN102926267A,"王松林,邵学军,张革仓,王勇",一种档案纸及其制造方法
山东晨鸣纸业集团股份有限公司,2012-11-08,CN201210441865.2,2013-02-13,CN102926281A,"王松林,邵学军,张革仓",一种温致可逆变色荧光防伪纸及其制造方法
山东晨鸣纸业集团股份有限公司,2012-11-08,CN201210441865.2,2014-09-17,CN102926281B,"王松林,邵学军,张革仓",一种温致可逆变色荧光防伪纸及其制造方法
丽珠医药集团股份有限公司,2014-05-21,CN201410222396.4,2014-09-10,CN104031066A,"莫德欢,张鹏,肖鸿,孔祥生",一种头孢地嗪钠药物及制备方法
中山大学,2014-08-15,CN201410404584.9,2014-12-24,CN104232299A,"周勰,唐阳刚,池振国,叶燕媚,陈学文",发酵制药生产中废弃植物油的回收再生方法
丽珠集团丽珠制药厂,2014-10-16,CN201410563184.2,2015-04-29,CN104547436A,"王锐,徐晓,曹廷琴,郭国领,江晓漫,王祥红,黄伟兴,罗锦梅,孙立强,李高照,郑现强,韦妍",一种博尔宁中药组合物胶囊及其制备方法
中集集团集装箱控股有限公司,2013-08-15,CN201310356127.2,2015-02-25,CN104370006A,"何思东,陈竟华,杨书林",一种集装箱钢地板及具有该钢地板的集装箱
中集集团集装箱控股有限公司,2013-08-27,CN201310379333.5,2015-03-18,CN104416636A,"陈祥社,赵声录,陶仁中,郞妙国",去除竹筒表面竹青的方法及设备
中兴通讯股份有限公司,2012-04-25,CN201280020413.5,2014-01-01,CN103493407A,"钱鸿章,余建军",用于产生相干和频率锁定光副载波的方法和装置
山东晨鸣纸业集团股份有限公司,2012-10-18,CN201210395963.7,2015-01-14,CN102912689B,"陈洪国,邵学军,张延军,张国英,张革仓,王勇,韩旭霞",一种白面涂布牛卡纸及其生产方法
山东晨鸣纸业集团股份有限公司,2010-12-01,CN201010568765.7,2012-09-05,CN102108649B,"李红斌,邵学军,房桂干,耿光林,张革仓,王勇,方辉,邓拥军,焦健,韩善明,张军",一种废纸脱墨的工艺方法
丽珠集团新北江制药股份有限公司,2015-01-21,CN201510036489.2,2015-05-27,CN104651427A,"唐阳刚,梁春盛,倪立俊,陈鹰博",一种制备多拉菌素的方法
丽珠集团利民制药厂,2012-05-25,CN201210167274.0,2015-05-06,CN103424498B,"宋艳刚,刘学华,黄文华,刘东来,胡淑毅,孙虹,曹晖,沈琳,江晓漫",一种清毒安肾胶囊指纹图谱的建立方法及其应用
中兴通讯股份有限公司,2012-05-09,CN201280022094.1,2014-01-08,CN103503527A,"李书鹏,霍大卫",长期演进-高级时分双工物理上行控制信道的功率控制
中兴通讯股份有限公司,2013-05-21,CN201310191422.7,2013-12-04,CN103428811A,"特里奇·苏,尤建洁,朱春晖",固定宽带接入网的3GPP设备和固定设备承载传输共存支持
江西晨鸣纸业有限责任公司,2014-09-19,CN201410482317.3,2016-06-29,CN104192923B,李绍雄,一种造纸污水处理剂
山东晨鸣纸业集团股份有限公司,2010-10-19,CN201010511032.X,2011-02-09,CN101967766A,"陈洪国,夏继钢,庞军,金树民,张伟",一种防伪纸生产设备
丽珠集团福州福兴医药有限公司,2011-09-01,CN201110256170.2,2015-01-21,CN102964430B,"黄志强,陈青,黄娟,刘文峰,赵正国,赖庆云",一种替考拉宁的纯化方法
山东新华制药股份有限公司,2011-03-17,CN201110065155.X,2011-07-27,CN102133205A,"汪洋,潘西海,孙艳华,郑忠辉",一种格列吡嗪渗透泵控释片的制备方法
中兴通讯股份有限公司,2007-09-25,CN200780035649.5,2014-07-02,CN101523872B,莫黎,用于IPv4和IPv6转移的系统和方法
中兴通讯股份有限公司,2013-07-15,CN201380037501.0,2015-03-18,CN104429003A,"丹尼斯·安德烈耶维奇·霍季姆斯基,袁立权,张德智",无源光网络中的光网络单元电源管理
山东晨鸣纸业集团股份有限公司,2010-10-19,CN201010511033.4,2011-02-09,CN101967777A,"陈洪国,夏继钢,庞军,金树民,张伟",一种防伪白卡纸及其制造方法
山东晨鸣纸业集团股份有限公司,2008-12-11,CN200810238242.9,2011-09-14,CN101418531B,"陈洪国,尹同远,耿光林,方辉,张革仓,王勇",一种低能耗制备桉木、杨木混合材漂白化学热磨机械浆的方法
山东新华制药股份有限公司,2012-03-13,CN201210064506.X,2012-08-15,CN102631904A,"夏丙堃,宫怀正",咖啡因生产过程中活性炭的再生回收工艺及其装置
山东新华制药股份有限公司,2011-03-17,CN201110065132.9,2012-12-12,CN102133204B,"汪洋,潘西海,孙艳华,郑忠辉",一种二甲双胍渗透泵控释片的制备方法
山东新华制药股份有限公司,2008-09-05,CN200810139764.3,2011-01-12,CN101357903B,"杨成顺,王凯广,徐明,卢维刚,王均华",制备4-甲酰氨基安替比林的新工艺
山东新华制药股份有限公司,2010-04-16,CN201010151871.5,2010-09-01,CN101817765A,"翟吉胜,王云峰",布洛芬精氨酸盐的制备方法
山东新华制药股份有限公司,2010-12-28,CN201010608397.4,2011-05-25,CN102070611A,"商艳艳,刘怀林,张延如,于小萍,李敏之,张滨",一种氨氯地平中间体的制备方法
山东新华制药股份有限公司,2011-03-23,CN201110070866.6,2011-07-13,CN102120629A,"杜德平,宫怀正,王超学,吴建科,胡发明",一种气提法处理含氰废水的方法
浙江新华制药有限公司,2011-01-13,CN201110006330.8,2011-06-15,CN102093263A,"林邦平,洪秀云,黄明孙",一种氯吡格雷拆分剂左旋樟脑磺酸的回收方法
